Title,URL,Location
Director of Human Resources,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124348/apply/email,"Saudi Arabia, Amaala"
Lifeguard - Recreation - InterContinental Hotels Group® Dubai Festival City,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124362/apply/email,"United Arab Emirates, Dubai"
Director of Human Resources,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124361/apply/email,"Indonesia, Uluwatu"
"Duty Manager (Night), Crowne Plaza Changi Airport",https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124360/apply/email,"Singapore, Singapore"
Waiter/Waitress - Theo Randall,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124040/apply/email,"United Kingdom, London"
Housekeeping Coordinator,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124359/apply/email,"Singapore, Singapore"
"Assistant IT Manager, Crowne Plaza Changi Airport",https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124358/apply/email,"Singapore, Singapore"
バーテンダー / HotelIndigoHakoneGora,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/116710/apply/email,"Japan, Kanagawa, Hakone"
Housekeeping Manager / Hotel Indigo Hakone Gora,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/108579/apply/email,"Austria, Vienna"
フロントデスクエージェント　/Hotel Indigo Hakone Gora,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100241/apply/email,"Japan, Kanagawa, Hakone"
Sous Chef スーシェフ/ホテルインディゴ箱根強羅,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/EMEAA30570/apply/email,"Japan, Kanagawa, Hakone"
Chief Accountant - Six Senses Ibiza,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124356/apply/email,"Spain, Ibiza"
Director of Finance,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124345/apply/email,"Italy, Milan"
Director of Human Resources,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124344/apply/email,"Italy, Milan"
Account Director (MICE - UK),https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124201/apply/email,"United Kingdom, Edinburgh"
"キャンペーンマーケティングマネージャージャパン（東京コーポレートオフィス勤務）Manager, Campaign Marketing, Japan",https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124161/apply/email,"Japan, Tokyo"
Director of Human Resources 人力资源总监,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124313/apply/email,"China, Beijing, Chengdu<br />China, Sichuan, Sichuan"
Director of Finance,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124353/apply/email,"Australia, South Australia, Adelaide"
ADOSM 助理市场销售总监,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/106875/apply/email,"China, Beijing, Beijing"
Kitchen & Laundry Technician at InterContinental Residences Business Bay & Crowne Plaza Business Bay (Pre-Opening),https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124351/apply/email,"United Arab Emirates, Dubai"
Senior Marketing Communication Manager 高级市场传讯经理,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124350/apply/email,"China, Beijing, Beijing"
Director of Sales & Marketing,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124346/apply/email,"Italy, Milan"
Director of Engineering,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124347/apply/email,"Italy, Milan"
Food & Beverage Attendant (Part-time) | Holiday Inn Sydney Potts Point,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124352/apply/email,"Australia, New South Wales, Sydney"
Head Chef,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124228/apply/email,"Australia, Western Australia, Perth"
Health Club Sales Manager 健身中心销售经理,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/120315/apply/email,"China, Beijing, Beijing"
Creative Manager/Supervisor - Artist 创意经理/主管-美术,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/115677/apply/email,"China, Beijing, Beijing"
Storekeeper 库房管理员,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/115681/apply/email,"China, Beijing, Beijing"
Director of Sustainability,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/115400/apply/email,"China, Beijing, Chengdu"
Reservation Manager 预定部经理,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/115678/apply/email,"China, Beijing, Beijing"
Valet 客衣收发服务员,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/115676/apply/email,"China, Beijing, Beijing"
Cold Kitchen Demi Chef 冷厨领班(,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/112359/apply/email,"China, Beijing, Beijing"
Western Kitchen Chef de Partie 西餐热厨主管,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/111441/apply/email,"China, Beijing, Beijing"
CCTV Guard 消防中控员 ,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/110763/apply/email,"China, Beijing, Beijing"
Sous Chef/Junior Sous Chef—Pastry 饼房副厨师长/初级副厨师长,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/108591/apply/email,"China, Beijing, Beijing"
Junior Sous Chef—Cold Kitchen 冷厨初级副厨师长,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/108593/apply/email,"China, Beijing, Beijing"
Pastry CDP/Demi Chef 饼房厨师主管/领班,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/106874/apply/email,"China, Beijing, Beijing"
Daccapo Restaurant Manager 迪卡博意大利餐厅经理,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/106872/apply/email,"China, Beijing, Beijing"
Regent Club Manager 行政楼层经理,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/104099/apply/email,"China, Beijing, Beijing"
Floor Supervisor 楼层主管,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/106865/apply/email,"China, Beijing, Beijing"
Technician技工(电工/空调/综合维修）,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/106868/apply/email,"China, Beijing, Beijing"
Guest Service Agent,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124343/apply/email,"Australia, Queensland, Hayman Island"
F&B Attendant,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124294/apply/email,"Australia, New South Wales, Windsor"
Duty Manager,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/122199/apply/email,"Singapore, Singapore"
Bellman,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/122198/apply/email,"Singapore, Singapore"
"General Manager - InterContinental Wellington, New Zealand",https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/123889/apply/email,"New Zealand, Wellington"
Mgr Sr Sales,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/121137/apply/email,"United States, California, Los Angeles"
Director of Housekeeping - Regent Santa Monica Beach Opening 2024,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/122672/apply/email,"United States, California, Santa Monica"
Front Desk Agent - MFBLA,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124340/apply/email,"United States, Texas, El Paso"
Toro Toro Food & Beverage Attendant (Full-Time) l InterContinental Miami Downtown,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/118041/apply/email,"United States, Florida, Miami"
Director of Finance Accounting - Hotel,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/122685/apply/email,"United States, California, Torrance"
Chef de Brigade (Réception),https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/EMEAA37298/apply/email,"French Polynesia, Bora Bora"
Loss Prevention Officer (Full-Time) InterContinental Miami Downtown,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/115966/apply/email,"United States, Florida, Miami"
Instant Service Supervisor - InterContinental Los Angeles Downtown,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124333/apply/email,"United States, California, Los Angeles"
